url,url_length,num_dash,num_dot,num_ampersand,num_percent,num_underscore,num_at,num_hashtag,num_double_dash,num_numeric,path_length,path_level,hostname_length,use_top_domain_level,is_https,has_ip_address,query_length,num_query,num_iframe,num_external_url,num_external_resources,num_null_self_redirect_hyperlink,num_submit_info_to_email,is_frequent_domain_name_mismatch,has_insecure_form,num_ext_meta_scipt_link,num_dns_record,num_redirect,num_redirect_diff_domain,right_click_dissabled,has_ext_favicon,status
https://www.colgate.com/en-us/products/enamel-health,52,2,2,0,0,0,0,0,1,0,29,3,15,1,1,0,0,0,6,16,0,21,0,1,0,38,4,0,0,0,0,0
https://www.colgate.com/en-us/products/enamel-health,52,2,2,0,0,0,0,0,1,0,29,3,15,1,1,0,0,0,6,16,0,21,0,1,0,37,4,0,0,0,0,0
https://careers.stateuniversity.com/pages/100000947/Search-Engines-Future-User-Preferences-Artificial-Intelligence.html,119,6,3,0,0,0,0,0,1,9,84,3,27,1,1,0,0,0,8,8,0,0,0,0,0,15,4,1,0,0,0,0
https://energo-investment.hu/,29,1,1,0,0,0,0,0,1,0,1,1,20,0,1,0,0,0,2,132,0,19,0,0,0,155,2,1,0,0,0,0
"data:,",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0
http://peypel.hol.es/,21,0,2,0,0,0,0,0,1,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
https://to-stromatadiko.gr/,27,1,1,0,0,0,0,0,1,0,1,1,18,0,1,0,0,0,0,168,0,23,0,0,0,4,2,1,0,0,0,1
http://logln-office365-0nline.wm.r.appspot.com/wp-content/xp.php,64,3,5,0,0,0,0,0,1,4,18,2,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://gpahb8bo-hbor35zkv.vercel.app/,38,1,2,0,0,0,0,0,1,3,1,1,29,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
https://www.vogella.com/tutorials/JavaAlgorithmsDijkstra/article.html,69,0,3,0,0,0,0,0,1,0,46,3,15,1,1,0,0,0,3,58,0,0,0,0,0,28,3,1,0,0,0,0
https://en.wikipedia.org/wiki/Medium_shot,41,0,2,0,0,1,0,0,1,0,17,2,16,1,1,0,0,0,0,42,0,2,0,0,0,10,0,0,0,0,0,0
https://en.wikipedia.org/wiki/Walnut_Creek_CDROM,48,0,2,0,0,2,0,0,1,0,24,2,16,1,1,0,0,0,0,52,0,2,0,0,0,10,0,0,0,0,0,0
http://www.nicaraguafood.org/,29,0,2,0,0,0,0,0,1,0,1,1,21,1,0,0,0,0,0,73,0,0,0,0,1,21,2,0,0,0,0,0
https://www.handshq.com/,24,0,2,0,0,0,0,0,1,0,1,1,15,1,1,0,0,0,2,18,0,2,0,1,0,17,2,0,0,0,1,0
https://www.w3schools.com/jsreF/jsref_obj_date.asp,50,0,3,0,0,2,0,0,1,1,25,2,17,1,1,0,0,0,21,175,0,0,0,1,0,24,4,0,0,0,0,0
https://www.kia.com/cz/dealer/pemmbrno/,39,0,2,0,0,0,0,0,1,0,20,4,11,1,1,0,0,0,5,233,0,15,0,0,0,51,2,0,0,0,0,0
https://www.liveatspencer68.com/,32,0,2,0,0,0,0,0,1,2,1,1,23,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
https://www.ablebits.com/office-addins-blog/excel-insert-hyperlink/,67,4,2,0,0,0,0,0,1,0,43,3,16,1,1,0,0,0,2,44,0,0,9,0,0,32,5,1,0,1,0,0
https://www.haciserif.com/,26,0,2,0,0,0,0,0,1,0,1,1,17,1,1,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,0,0
https://www.imdb.com/title/tt3682448/,37,0,2,0,0,0,0,0,1,7,17,3,12,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0
https://www.alterego.gr/,24,0,2,0,0,0,0,0,1,0,1,1,15,0,1,0,0,0,1,10,0,4,0,1,0,12,2,0,0,0,0,0
https://www.sportsengine.com/solutions,38,0,2,0,0,0,0,0,1,0,10,1,20,1,1,0,0,0,3,73,0,0,0,0,0,38,5,1,0,0,0,0
