url,url_length,num_dash,num_dot,num_ampersand,num_percent,num_numeric,is_https,has_ip_address,query_length,num_query,hostname_length,num_iframe,num_external_url,num_external_resources,num_null_self_redirect_hyperlink,status
http://www.crestonwood.com/router.php,37,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,77,0,1,0,0,17,0,0,0,0,23,0,1,0,0,1
http://rgipt.ac.in,18,0,2,0,0,0,0,0,0,0,11,0,12,0,13,0
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,81,0,2,0,0,21,0,0,0,0,27,0,1,0,0,1
http://vamoaestudiarmedicina.blogspot.com/,42,0,2,0,0,0,0,0,0,0,34,0,112,0,0,0
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,56,0,3,0,0,0,0,0,0,0,22,0,10,0,0,0
https://www.lifewire.com/tcp-port-21-818146,43,3,2,0,0,8,0,0,0,0,16,2,169,0,4,0
https://www.missfiga.com/,25,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0
https://www.chiefarchitect.com/,31,0,2,0,0,0,0,0,0,0,22,1,18,0,1,0
http://www.ktplasmachinery.com/cs/,34,0,2,0,0,0,0,0,0,0,23,0,0,0,0,1
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/,63,2,3,0,0,0,0,0,0,0,14,2,356,0,4,0
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,66,4,2,0,0,0,0,0,0,0,16,0,145,0,12,0
https://polarklimatsgserver.blogspot.com/,41,0,2,0,0,0,0,0,0,0,32,0,5,0,15,1
https://www.provenancevineyards.com/,36,0,2,0,0,0,0,0,0,0,27,0,30,0,0,0
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/,72,7,2,0,0,0,0,0,0,0,24,0,299,0,3,0
https://answers.yahoo.com/question/index?qid=20060914152716AAZTOSo,66,0,2,0,0,14,0,0,21,1,17,0,176,0,0,0
https://www.chiostrodelbramante.it/,35,0,2,0,0,0,0,0,0,0,26,1,48,0,5,0
http://press-preview.weebly.com,31,1,2,0,0,0,0,0,0,0,24,0,130,0,11,0
http://vufd.hyperphp.com/amzn,29,0,2,0,0,0,0,0,0,0,17,0,0,0,0,1
http://www.courgeon-immobilier.fr/wp-content/uploads/2019/07/tpg/9ac6ba30463d0fb7974c06843717284c/,98,2,2,0,0,29,0,0,0,0,26,0,5,0,1,1
http://wiki.openstreetmap.org/wiki/Databases_and_data_access_APIs,65,0,2,0,0,0,0,0,0,0,22,0,30,0,1,0
https://grassform-my.sharepoint.com/:b:/g/personal/accounts_grassform_co_uk/EYsmX_DhwSVAlooW1ETKf50BIChCl1rrAfmqvTLvySTLQQ?e=UbjoWA,131,1,2,0,0,4,0,0,6,1,27,0,0,0,1,1
https://www.merriam-webster.com/dictionary/tabloid,50,1,2,0,0,0,0,0,0,0,23,1,24,0,7,0
https://www.123formbuilder.com/form-4850478/,44,1,2,0,0,10,0,0,0,0,22,0,5,0,0,1
https://ru.wikipedia.org/wiki/MultiMedia_Card,45,0,2,0,0,0,0,0,0,0,16,0,66,0,0,0
http://www.shadetreetechnology.com/V4/validation/44ccd8b487c7fe797dc775e919236002,81,0,2,0,0,23,0,0,0,0,27,0,1,0,0,1
https://sites.google.com/site/ilyasdxih,39,0,2,0,0,0,0,0,0,0,16,0,4,0,0,1
https://storage.cloud.google.com/prprhrhprc.appspot.com/index.htm#oncall-infra@eqiom.com,88,1,7,0,0,0,0,0,0,0,24,0,4,0,0,1
http://stattrek.com/statistics/dictionary.aspx?definition=standard%20error,74,0,2,0,1,2,0,0,14,1,12,0,1,0,12,0
http://www.bobsplans.com/FreeDownloads/RouterTable.pdf,54,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0
https://en.wikipedia.org/wiki/NIC_Bank,38,0,2,0,0,0,0,0,0,0,16,0,41,0,1,0
http://www.history.com/topics/american-civil-war/gettysburg-address,67,3,2,0,0,0,0,0,0,0,15,0,77,0,0,0
http://sloaneandhyde.com/drs/new2015/document.php/index.css,59,0,3,0,0,4,0,0,0,0,17,0,1,0,0,1
https://en.wikipedia.org/wiki/Gateway,37,0,2,0,0,0,0,0,0,0,16,0,48,0,1,0
http://elexusbettgiris4.blogspot.com,36,0,2,0,0,1,0,0,0,0,29,0,6,0,0,1
http://www.calculate.co.il/,27,0,3,0,0,0,0,0,0,0,19,0,86,0,0,0
https://www.markspcsolution.com/,32,0,2,0,0,0,0,0,0,0,23,0,200,0,0,0
https://www.mummyandmini.com/,29,0,2,0,0,0,0,0,0,0,20,0,196,0,5,0
http://www.ilovefreesoftware.com/16/featured/5-best-free-network-packet-sniffer.html,84,5,3,0,0,3,0,0,0,0,25,1,90,0,5,0
https://apshop.vn/,18,0,1,0,0,0,0,0,0,0,9,1,35,0,2,0
https://www.facebook.com/thekeyboardcat,39,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0
http://enerclim.com/cs/,23,0,1,0,0,0,0,0,0,0,12,0,0,0,0,1
https://www.wordnik.com/words/blackletter,41,0,2,0,0,0,0,0,0,0,15,0,17,0,3,0
https://bit.ly/2E6D7J1,22,0,1,0,0,4,0,0,0,0,6,0,2,0,0,1
https://www.gadgetzone.com.my/,30,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0
http://smallbusiness.chron.com/enabling-google-chrome-menu-bar-78783.html,73,5,3,0,0,5,0,0,0,0,23,1,68,0,1,0
https://coderwall.com/p/kvzbpa/don-t-use-array-foreach-use-for-instead,70,7,1,0,0,0,0,0,0,0,13,1,10,0,0,0
http://afriquelemou.free.fr/templates/rhuk_milkyway/sdnconconsadf.html,70,0,3,0,0,0,0,0,0,0,20,0,0,0,0,1
https://www.emploi-petrole.com/,31,1,2,0,0,0,0,0,0,0,22,0,115,0,0,0
http://dic.academic.ru/dic.nsf/ruwiki/1425594,45,0,3,0,0,7,0,0,0,0,15,0,42,0,25,0
http://www.biology4kids.com/files/cell2_activetran.html,55,0,3,0,0,2,0,0,0,0,20,1,9,0,0,0
https://drive.google.com/file/d/1u7ag3FepresW0JRZehtrU5hLGGltMq6P/view?usp=sharing/,83,0,2,0,0,6,0,0,8,1,16,0,1,0,0,1
http://poligrafiapias.com/Secured-adobe/2b078be1175659f354b82191320e7c51/,73,1,1,0,0,25,0,0,0,0,18,0,0,0,0,1
http://www.kuchyne-volf.com/obrazky/dinds/alibaba/index/,56,1,2,0,0,0,0,0,0,0,20,0,7,0,0,1
http://www.speedcamupdates.com/,31,0,2,0,0,0,0,0,0,0,23,0,25,0,1,0
http://barbo.sk,15,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
http://animaldiversity.org/accounts/Mus_musculus/,49,0,1,0,0,0,0,0,0,0,19,0,20,0,0,0
https://eye-lucir.com/?d=,25,1,1,0,0,0,0,0,0,0,13,1,22,0,0,1
https://www.walmart.com/c/ep/cat6-ethernet-cables,49,2,2,0,0,1,0,0,0,0,15,0,2,0,0,0
http://science.howstuffworks.com/warp-speed2.htm,48,1,3,0,0,1,0,0,0,0,25,1,91,0,7,0
https://www.youtube.com/user/PING,33,0,2,0,0,0,0,0,0,0,15,1,8,0,0,0
http://www.instohelp.com/assets_flight/libs/bootstrap/cmcst-wl.html,67,1,3,0,0,0,0,0,0,0,17,0,0,0,0,1
https://www.workiva.com/,24,0,2,0,0,0,0,0,0,0,15,1,44,0,1,0
https://safirbetgiristikla.blogspot.com/,40,0,2,0,0,0,0,0,0,0,31,0,6,0,0,1
http://creditiperhabbogratissicuro100.blogspot.it/2011/02/habbo-crediti-gratis-sicuro-100.html,94,4,3,0,0,12,0,0,0,0,42,1,18,0,0,1
https://storage.cloud.google.com/user517497679326978.appspot.com/index.html#samsnow@tjsnow.com,94,0,7,0,0,15,0,0,0,0,24,0,4,0,0,1
